Size,Sort,Times,trialNo
100,RadixQuickSort,0.2911090850830078,1
100,RadixQuickSort,0.2930164337158203,2
100,RadixQuickSort,0.9009838104248047,3
100,RadixQuickSort,0.7569789886474609,4
100,RadixQuickSort,0.7317066192626953,5
250,RadixQuickSort,3.7751197814941406,1
250,RadixQuickSort,3.812074661254883,2
250,RadixQuickSort,3.6509037017822266,3
250,RadixQuickSort,3.8411617279052734,4
250,RadixQuickSort,3.778696060180664,5
500,RadixQuickSort,14.166116714477539,1
500,RadixQuickSort,13.824939727783203,2
500,RadixQuickSort,13.766765594482422,3
500,RadixQuickSort,14.042854309082031,4
500,RadixQuickSort,13.580799102783203,5
750,RadixQuickSort,30.449867248535156,1
750,RadixQuickSort,30.60603141784668,2
750,RadixQuickSort,30.45511245727539,3
750,RadixQuickSort,30.052900314331055,4
750,RadixQuickSort,30.44271469116211,5
1000,RadixQuickSort,53.08079719543457,1
1000,RadixQuickSort,53.03478240966797,2
1000,RadixQuickSort,52.98209190368652,3
1000,RadixQuickSort,52.819252014160156,4
1000,RadixQuickSort,52.15096473693848,5
5000,RadixQuickSort,1286.2470149993896,1
5000,RadixQuickSort,1281.123161315918,2
5000,RadixQuickSort,1312.309980392456,3
5000,RadixQuickSort,1292.7041053771973,4
5000,RadixQuickSort,1280.2958488464355,5
10000,RadixQuickSort,5101.415157318115,1
10000,RadixQuickSort,5189.028024673462,2
10000,RadixQuickSort,5199.483871459961,3
10000,RadixQuickSort,5089.723110198975,4
10000,RadixQuickSort,5108.144998550415,5
100,RadixCountingSort,0.05221366882324219,1
100,RadixCountingSort,0.06413459777832031,2
100,RadixCountingSort,0.04220008850097656,3
100,RadixCountingSort,0.0629425048828125,4
100,RadixCountingSort,0.041961669921875,5
250,RadixCountingSort,0.15115737915039062,1
250,RadixCountingSort,0.15091896057128906,2
250,RadixCountingSort,0.15091896057128906,3
250,RadixCountingSort,0.15091896057128906,4
250,RadixCountingSort,0.1499652862548828,5
500,RadixCountingSort,0.3230571746826172,1
500,RadixCountingSort,0.31876564025878906,2
500,RadixCountingSort,0.31375885009765625,3
500,RadixCountingSort,0.3132820129394531,4
500,RadixCountingSort,0.3161430358886719,5
750,RadixCountingSort,0.47898292541503906,1
750,RadixCountingSort,0.4718303680419922,2
750,RadixCountingSort,0.4749298095703125,3
750,RadixCountingSort,0.47206878662109375,4
750,RadixCountingSort,0.47397613525390625,5
1000,RadixCountingSort,0.6310939788818359,1
1000,RadixCountingSort,0.6301403045654297,2
1000,RadixCountingSort,0.6351470947265625,3
1000,RadixCountingSort,0.6301403045654297,4
1000,RadixCountingSort,0.6320476531982422,5
5000,RadixCountingSort,3.1960010528564453,1
5000,RadixCountingSort,3.197908401489258,2
5000,RadixCountingSort,3.1919479370117188,3
5000,RadixCountingSort,3.1938552856445312,4
5000,RadixCountingSort,3.1890869140625,5
10000,RadixCountingSort,6.419897079467773,1
10000,RadixCountingSort,6.503820419311523,2
10000,RadixCountingSort,6.497859954833984,3
10000,RadixCountingSort,6.471395492553711,4
10000,RadixCountingSort,6.557941436767578,5
